iter	MAE
181	3.658125901
182	3.657985264
183	3.657445767
184	3.656203817
185	3.655978399
186	3.655878967
187	3.655814823
188	3.655697151
189	3.655477062
190	3.655249131
191	3.65445102
192	3.654419955
193	3.654155715
194	3.653974276
195	3.653710466
196	3.653136929
197	3.653082561
198	3.652748471
199	3.652046965
200	3.651758971
201	3.651701288
202	3.651483865
203	3.651388405
204	3.65106772
205	3.650871921
206	3.650791792
207	3.650658049
208	3.650524823
209	3.650213388
210	3.649339604
211	3.64930101
212	3.64872901
213	3.648670056
214	3.648655369
215	3.648343061
216	3.648146555
217	3.648072206
218	3.647926284
219	3.647546112
220	3.647238862
221	3.646867726
222	3.646825905
223	3.646594999
224	3.646146692
225	3.645979377
226	3.645743243
227	3.645413373
228	3.645211107
229	3.645076999
230	3.644793435
231	3.644613213
232	3.644396617
233	3.644308177
234	3.644201084
235	3.643915881
236	3.64368626
237	3.643452354
238	3.643229732
239	3.643083773
240	3.642791027
241	3.642698699
242	3.642484068
243	3.642237359
244	3.642186436
245	3.641948403
246	3.641850375
247	3.641044164
248	3.640389504
249	3.640267795
250	3.640127197
251	3.639723603
252	3.639556178
253	3.639292437
254	3.639145523
255	3.638367859
256	3.638083718
257	3.637379843
258	3.636446644
259	3.636380965
260	3.636198542
261	3.636135222
262	3.63592849
263	3.63571345
264	3.635595431
265	3.635524464
266	3.634475777
267	3.634448932
268	3.634259915
269	3.63401717
270	3.633988405
271	3.633872724
272	3.633484083
273	3.632675438
274	3.632459197
275	3.632194599
276	3.632075177
277	3.631763001
278	3.631128388
279	3.631030729
280	3.630603474
281	3.630194246
282	3.630157522
283	3.630061413
284	3.62994033
285	3.62972325
286	3.629457402
287	3.628967038
288	3.628855212
289	3.628776374
290	3.628705108
291	3.628682965
292	3.628498565
293	3.628265732
294	3.628088762
295	3.627881929
296	3.627645677
297	3.627396556
298	3.626883413
299	3.626193176
300	3.626158392
301	3.625974717
302	3.625830009
303	3.625412636
304	3.625298905
305	3.625140153
306	3.62501619
307	3.624888516
308	3.624773806
309	3.624651653
310	3.624455656
311	3.624136237
312	3.623823954
313	3.623103277
314	3.622922579
315	3.622784338
316	3.622622402
317	3.622234682
318	3.621917762
319	3.621796873
320	3.621767629
321	3.621659707
322	3.621386388
323	3.621318305
324	3.620727466
325	3.620603948
326	3.620538249
327	3.620408678
328	3.620221454
329	3.620121934
330	3.619858533
331	3.619523509
332	3.619442825
333	3.619383704
334	3.619286173
335	3.619160175
336	3.61905095
337	3.618756894
338	3.618618906
339	3.618564333
340	3.618479159
341	3.618110734
342	3.618054094
343	3.617903771
344	3.61788046
345	3.617707469
346	3.617534388
347	3.617308392
348	3.617148906
349	3.6166939
350	3.616595068
351	3.616545705
352	3.616355624
353	3.616222679
354	3.615459452
355	3.615352853
356	3.614970312
357	3.61467119
358	3.614517508
359	3.614069014
360	3.613843154
361	3.613756316
362	3.613633052
363	3.613545819
364	3.613347292
365	3.61318002
366	3.612937765
367	3.612823356
368	3.612479816
369	3.612380385
370	3.612299661
371	3.612207353
372	3.612116011
373	3.611963752
374	3.611718379
375	3.611459208
376	3.611364586
377	3.611114499
378	3.61108963
379	3.610989957
380	3.61066008
381	3.610565887
382	3.610410203
383	3.610289907
384	3.610180077
385	3.610058242
386	3.609742741
387	3.609557236
388	3.609466226
389	3.60923792
390	3.609108763
391	3.608999247
392	3.608875384
393	3.608649135
394	3.608428834
395	3.608341961
396	3.608108685
397	3.607602317
398	3.60754531
399	3.607287597
400	3.607099298
401	3.606860597
402	3.606692008
403	3.606630202
404	3.606569365
405	3.606376939
406	3.606261602
407	3.606127394
408	3.605961408
409	3.605826083
410	3.605736828
411	3.605576073
412	3.605481219
413	3.605368623
414	3.605117171
415	3.605025575
416	3.604953881
417	3.604691018
418	3.604626083
419	3.604529066
420	3.604359689
421	3.603621407
422	3.603526558
423	3.603474494
424	3.60333999
425	3.603216977
426	3.603191427
427	3.60285435
428	3.602609203
429	3.60230622
430	3.602178285
431	3.60210078
432	3.601989426
433	3.60190281
434	3.601776409
435	3.601578631
436	3.60149629
437	3.601414226
438	3.601365648
439	3.601208859
440	3.600902384
441	3.600775186
442	3.600362965
443	3.600254616
444	3.600183612
445	3.600091015
446	3.599993992
447	3.599968267
448	3.599548502
449	3.599484233
450	3.599401073
451	3.599289495
452	3.599185531
453	3.598921601
454	3.598752467
455	3.598474151
456	3.598177356
457	3.598048597
458	3.597908935
459	3.597837222
460	3.597810666
461	3.597747294
462	3.59756039
463	3.597412198
464	3.597132236
465	3.597071944
466	3.596949227
467	3.596826692
468	3.596788261
469	3.596619325
470	3.596183504
471	3.596052919
472	3.59600208
473	3.595382868
474	3.594715263
475	3.594614747
476	3.594421618
477	3.594262869
478	3.59416999
479	3.594059722
480	3.594006914
481	3.593898864
482	3.593647907
483	3.593516013
484	3.593376622
485	3.593170319
486	3.592868294
487	3.592776162
488	3.59266366
489	3.592608898
490	3.59230603
491	3.592230155
492	3.592170924
493	3.591984312
494	3.591877651
495	3.591563265
496	3.591507867
497	3.591402171
498	3.59128006
499	3.591140092
500	3.591075731
501	3.590964361
502	3.590729341
503	3.590206756
504	3.590062323
505	3.589900636
506	3.58977874
507	3.589740826
508	3.589486342
509	3.589413277
510	3.589352042
511	3.588580258
512	3.588437078
513	3.588378102
514	3.58818127
515	3.588131071
516	3.587922811
517	3.587699466
518	3.587606876
519	3.587508795
520	3.587395204
521	3.587313369
522	3.58719065
523	3.587027954
524	3.586667966
525	3.586580842
526	3.58653769
527	3.586444151
528	3.586191323
529	3.58608721
530	3.585840493
531	3.585727583
532	3.585569325
533	3.585219858
534	3.58506553
535	3.584949868
536	3.584887959
537	3.58480314
538	3.584681256
539	3.584619446
540	3.584475415
541	3.584313261
542	3.584267253
543	3.584212312
544	3.583818936
545	3.583556964
546	3.583422307
547	3.583109104
548	3.582888547
549	3.582678944
550	3.582600931
551	3.582116433
552	3.581978633
553	3.581501735
554	3.581385954
555	3.580963182
556	3.5806281
557	3.579919383
558	3.579886927
559	3.579798362
560	3.579641382
561	3.579487341
562	3.579111529
563	3.578937599
564	3.578809036
565	3.578678168
566	3.578447797
567	3.578370548
568	3.578128623
569	3.578087108
570	3.577960197
571	3.577738108
572	3.577515992
573	3.577409196
574	3.576809241
575	3.576644286
576	3.576529423
577	3.576442094
578	3.576401385
579	3.576306892
580	3.576172219
581	3.575982904
582	3.575422447
583	3.575355124
584	3.575268467
585	3.574978659
586	3.574531234
587	3.574477363
588	3.574191743
589	3.574140442
590	3.574024167
591	3.573398084
592	3.573169512
593	3.57271602
594	3.572580664
595	3.572473164
596	3.57240543
597	3.572295266
598	3.572198247
599	3.572058049
600	3.571601796
601	3.57140178
602	3.571141687
603	3.570964247
604	3.570842933
605	3.570459925
606	3.570169045
607	3.570098703
608	3.56996533
609	3.569627445
610	3.569130099
611	3.56897643
612	3.568827538
613	3.568537382
614	3.568451811
615	3.568422744
616	3.568327824
617	3.568263296
618	3.568140091
619	3.568034632
620	3.567915375
621	3.567615218
622	3.567556903
623	3.567527457
624	3.567387655
625	3.567360042
626	3.567349365
627	3.567215481
628	3.567077062
629	3.566924034
630	3.566789711
631	3.566691031
632	3.566345549
633	3.566208395
634	3.565809802
635	3.565681488
636	3.565294952
637	3.565169161
638	3.564908778
639	3.564772346
640	3.564739223
641	3.564606722
642	3.564526971
643	3.564243994
644	3.564055008
645	3.56393924
646	3.563790644
647	3.563390001
648	3.563290793
649	3.563157496
650	3.563015929
651	3.562760316
652	3.562554151
653	3.562374358
654	3.562253534
655	3.562203266
656	3.562006213
657	3.561934837
658	3.561885961
659	3.561788296
660	3.561725935
661	3.56145444
662	3.561363417
663	3.561240551
664	3.561105091
665	3.560990452
666	3.560899443
667	3.560570839
668	3.560417607
669	3.560370206
670	3.560201495
671	3.560060294
672	3.559947942
673	3.559832204
674	3.559570055
675	3.559513964
676	3.559448632
677	3.559326247
678	3.559262409
679	3.559106295
680	3.559032508
681	3.558943238
682	3.558765517
683	3.558700297
684	3.558594863
685	3.558481891
686	3.558459117
687	3.558344504
688	3.55825004
689	3.558129063
690	3.55791854
691	3.557748235
692	3.557648014
693	3.557581604
694	3.557417087
695	3.55727654
696	3.557161485
697	3.557123802
698	3.556864764
699	3.556731276
700	3.556602646
701	3.556457765
702	3.556184999
703	3.555899934
704	3.555817418
705	3.555778651
706	3.555681932
707	3.55561215
708	3.555160218
709	3.554977522
710	3.55479977
711	3.554714443
712	3.554665245
713	3.554641454
714	3.554571084
715	3.554507525
716	3.554280321
717	3.554132896
718	3.55391128
719	3.553505161
720	3.553338171
721	3.55326677
722	3.55297203
723	3.552859084
724	3.55270896
725	3.552497369
726	3.552482046
727	3.551989524
728	3.551634574
729	3.551567794
730	3.550875411
731	3.55083079
732	3.550646824
733	3.550550919
734	3.550525951
735	3.550468249
736	3.550354379
737	3.550338214
738	3.550280788
739	3.549999649
740	3.549903141
741	3.549563443
742	3.549497805
743	3.54915771
744	3.548994938
745	3.548526453
746	3.548437451
747	3.548374205
748	3.547961908
749	3.547829214
750	3.54766709
751	3.547480788
752	3.547378959
753	3.547266716
754	3.546986094
755	3.546940345
756	3.546541862
757	3.546306701
758	3.546197995
759	3.545965846
760	3.545925902
761	3.545850982
762	3.545789832
763	3.545610638
764	3.545582245
765	3.54519785
766	3.545112643
767	3.544906602
768	3.544688265
769	3.544361993
770	3.54416781
771	3.544067522
772	3.544001635
773	3.543910768
774	3.543821238
775	3.543743238
776	3.543442727
777	3.543157399
778	3.543090724
779	3.542904756
780	3.542847817
781	3.542624668
782	3.542550827
783	3.542362609
784	3.542077024
785	3.541926151
786	3.541867946
787	3.541540738
788	3.541365871
789	3.540877001
790	3.5408186
791	3.540314478
792	3.540270133
793	3.540066086
794	3.540028508
795	3.53994396
796	3.539892096
797	3.539836242
798	3.53979526
799	3.539607029
800	3.539381105
801	3.539287713
802	3.539192909
803	3.539102079
804	3.538733701
805	3.538137132
806	3.537976251
807	3.537901334
808	3.537714435
809	3.537606605
810	3.53721742
811	3.537063562
812	3.536758262
813	3.536351806
814	3.536230682
815	3.536107178
816	3.536017424
817	3.535815475
818	3.535687299
819	3.535468049
820	3.535252919
821	3.534908659
822	3.534791026
823	3.534672759
824	3.534634747
825	3.534432357
826	3.534250103
827	3.534188979
828	3.534116415
829	3.534027831
830	3.533931646
831	3.533610512
832	3.533392418
833	3.532914098
834	3.53273871
835	3.532653732
836	3.532482008
837	3.532434816
838	3.532349047
839	3.532235902
840	3.532104646
841	3.531988363
842	3.531890373
843	3.531844962
844	3.53157899
845	3.531532449
846	3.531408649
847	3.531267276
848	3.531184409
849	3.531061421
850	3.530898193
851	3.530844949
852	3.530664081
853	3.5304461
854	3.530395042
855	3.53022856
856	3.530205375
857	3.530183509
858	3.530100619
859	3.529995644
860	3.529780824
861	3.529763221
862	3.529661347
863	3.529617337
864	3.529463898
865	3.529406506
866	3.529301496
867	3.529194171
868	3.529032345
869	3.528957279
870	3.528885947
871	3.528743309
872	3.528674711
873	3.528619509
874	3.528445784
875	3.528340955
876	3.528278134
877	3.528112865
878	3.528066708
879	3.528001288
880	3.527964976
881	3.527880645
882	3.527743171
883	3.527138791
884	3.526773985
885	3.526667951
886	3.526470088
887	3.526409034
888	3.526323251
889	3.526278103
890	3.52572516
891	3.525521456
892	3.525346165
893	3.52526298
894	3.524911692
895	3.524812474
896	3.524689078
897	3.524624528
898	3.524598587
899	3.524219252
900	3.524159024
901	3.52397792
902	3.523943429
903	3.523861946
904	3.523545537
905	3.523462306
906	3.523266243
907	3.522885449
908	3.522416751
909	3.522279432
910	3.52215789
911	3.522069177
912	3.521936085
913	3.521810539
914	3.521759137
915	3.521347368
916	3.521025518
917	3.520883083
918	3.520856001
919	3.520761979
920	3.520424281
921	3.520325028
922	3.520193263
923	3.520178944
924	3.520111279
925	3.519793711
926	3.519764976
927	3.519566057
928	3.519341022
929	3.519302532
930	3.519201222
931	3.519124606
932	3.519071309
933	3.51863378
934	3.518554536
935	3.518420535
936	3.518344263
937	3.518239976
938	3.517701571
939	3.517397392
940	3.517353378
941	3.517246583
942	3.517064056
943	3.517031794
944	3.516991628
945	3.516716429
946	3.516650039
947	3.516486886
948	3.516406378
949	3.516385884
950	3.516009204
951	3.51579879
952	3.515757231
953	3.515373838
954	3.515241891
955	3.515173808
956	3.515172512
957	3.514987412
958	3.514898626
959	3.514876787
960	3.514805219
961	3.514758531
962	3.514679882
963	3.514394447
964	3.514239665
965	3.513819427
966	3.513724272
967	3.513658833
968	3.513399313
969	3.513372622
970	3.513308518
971	3.513228287
972	3.513154188
973	3.51290491
974	3.512503378
975	3.512423757
976	3.512386604
977	3.512359355
978	3.512313331
979	3.512249299
980	3.512190293
981	3.512082163
982	3.512068858
983	3.511991989
984	3.511406891
985	3.511403498
986	3.511397947
987	3.511374431
988	3.511283058
989	3.511241963
990	3.511176703
991	3.511152604
992	3.511006363
993	3.510807654
994	3.510699714
995	3.510637383
996	3.510506874
997	3.510466841
998	3.510436074
999	3.510321421
1000	3.510285228
1001	3.510008521
1002	3.509973161
1003	3.509925503
1004	3.509751005
1005	3.509366716
1006	3.50924798
1007	3.50897001
1008	3.508824493
1009	3.508674103
1010	3.508604161
1011	3.508425009
1012	3.508235817
1013	3.507964091
1014	3.507880367
1015	3.50777392
1016	3.507718946
1017	3.507623709
1018	3.507543201
1019	3.507488454
1020	3.507341257
1021	3.507252219
1022	3.507018115
1023	3.506940369
1024	3.506883942
1025	3.506855706
1026	3.50679873
1027	3.506726114
1028	3.506658843
1029	3.506640309
1030	3.506613952
1031	3.506340499
1032	3.506260276
1033	3.5061628
1034	3.505787175
1035	3.505731374
1036	3.505424987
1037	3.505372207
1038	3.505288393
1039	3.505174343
1040	3.504802117
1041	3.504656514
1042	3.504415463
1043	3.504330155
1044	3.504107152
1045	3.504054632
1046	3.503550355
1047	3.503504256
1048	3.503013603
1049	3.502921036
1050	3.502870155
1051	3.50285646
1052	3.502470273
1053	3.502439521
1054	3.502120384
1055	3.501663547
1056	3.501554438
1057	3.501539142
1058	3.501515731
1059	3.501448822
1060	3.501283225
1061	3.500811388
1062	3.50077772
1063	3.500773801
1064	3.500461368
1065	3.500432554
1066	3.500365734
1067	3.500345635
1068	3.500328672
1069	3.500233411
1070	3.500077666
1071	3.499925506
1072	3.499917899
1073	3.499900828
1074	3.499773155
1075	3.499659568
1076	3.499563782
1077	3.499481016
1078	3.499450156
1079	3.499321742
1080	3.499286154
1081	3.499229747
1082	3.499171227
1083	3.499138426
1084	3.499042446
1085	3.498901635
1086	3.498751015
1087	3.498659532
1088	3.498610134
1089	3.498532885
1090	3.498488988
1091	3.498410722
1092	3.498386056
1093	3.498126225
1094	3.498076985
1095	3.497671303
1096	3.497537186
1097	3.497302906
1098	3.497098381
1099	3.497028437
1100	3.496803189
1101	3.496703747
1102	3.496499134
1103	3.496228306
1104	3.496161539
1105	3.496080519
1106	3.496051419
1107	3.495866443
1108	3.49583995
1109	3.49579362
1110	3.495511854
1111	3.495413657
1112	3.495246842
1113	3.495169966
1114	3.495059492
1115	3.495050717
1116	3.494985912
1117	3.494820108
1118	3.494798665
1119	3.494576924
1120	3.494185177
1121	3.493446964
1122	3.493307296
1123	3.493298282
1124	3.4932463
1125	3.493105286
1126	3.493003864
1127	3.492842733
1128	3.492831762
1129	3.492726477
1130	3.492717987
1131	3.49222875
1132	3.492182029
1133	3.492179353
1134	3.492117012
1135	3.491916942
1136	3.491765978
1137	3.491545607
1138	3.491280044
1139	3.491232803
1140	3.491133887
1141	3.490956253
1142	3.490950062
1143	3.490825628
1144	3.490767182
1145	3.490740287
1146	3.490622039
1147	3.49051805
1148	3.490342676
1149	3.490306943
1150	3.490276146
1151	3.490212826
1152	3.490199165
1153	3.490122877
1154	3.490047764
1155	3.489956036
1156	3.489900526
1157	3.489846786
1158	3.489841144
1159	3.489378721
1160	3.489339201
1161	3.489084418
1162	3.489060686
1163	3.48894883
1164	3.488936559
1165	3.488692558
1166	3.488513036
1167	3.488263684
1168	3.488250349
1169	3.487675479
1170	3.487602681
1171	3.487364964
1172	3.487035681
1173	3.486975638
1174	3.486939665
1175	3.486907654
1176	3.486753488
1177	3.486666
1178	3.486617826
1179	3.486544531
1180	3.486397352
1181	3.486272776
1182	3.486034756
1183	3.485966049
1184	3.485941008
1185	3.485898181
1186	3.485809384
1187	3.485489269
1188	3.485454441
1189	3.485442757
1190	3.48540984
1191	3.485384848
1192	3.485226847
1193	3.485148481
1194	3.485063035
1195	3.484941885
1196	3.484866451
1197	3.484826982
1198	3.484553586
1199	3.484483736
